belongs_to_collection,budget,genres,original_title,month,runtime,vote_average,revenue
,10500000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Aftermath,4,92,5.8,3451
,39000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",Against the Ropes,2,106,4.5,6614280
"{'id': 91427, 'name': 'Agent Cody Banks Collection', 'poster_path': '/nQZ1TuxTEFrZLEU02kTTeKogFbX.jpg', 'backdrop_path': '/gh0OZpG16E5LtTAkCRkr5j0v1Fh.jpg'}",28000000,"[{'id': 28, 'name': 'Action'}]",Agent Cody Banks,3,102,5,58795814
"{'id': 91427, 'name': 'Agent Cody Banks Collection', 'poster_path': '/nQZ1TuxTEFrZLEU02kTTeKogFbX.jpg', 'backdrop_path': '/gh0OZpG16E5LtTAkCRkr5j0v1Fh.jpg'}",26000000,"[{'id': 35, 'name': 'Comedy'}]",Agent Cody Banks 2: Destination London,6,100,5.2,28818995
,70000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",Agora,5,127,6.9,39041505
,8000000,"[{'id': 18, 'name': 'Drama'}]",Akeelah and the Bee,4,112,6.7,18948425
,4000000,"[{'id': 35, 'name': 'Comedy'}]",Alan Partridge: Alpha Papa,7,90,6.5,9800000
,8000000,"[{'id': 18, 'name': 'Drama'}]",Albert Nobbs,12,113,6.2,5634828
,30000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Alex & Emma,6,96,5,15368897
"{'id': 142680, 'name': 'Alex Cross Collection', 'poster_path': '/64mlnEVoq1I0BZe4iDdAv89qO9Z.jpg', 'backdrop_path': '/eyKpawn8yMq6kdv03wgKruMuSJX.jpg'}",45000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",Alex Cross,10,101,5.1,30353232
,155000000,"[{'id': 10752, 'name': 'War'}, {'id': 36, 'name': 'History'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Alexander,11,175,5.6,167298192
,28000000,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]","Alexander and the Terrible, Horrible, No Good, Very Bad Day",10,81,6.1,100654149
,60000000,"[{'id': 35, 'name': 'Comedy'}]",Alfie,10,103,5.5,13395939
,107000000,"[{'id': 18, 'name': 'Drama'}]",Ali,12,157,6.7,87713825
"{'id': 261307, 'name': 'Alice in Wonderland Collection', 'poster_path': '/xSDwVJEdtewx9pfD125PCdRgznH.jpg', 'backdrop_path': '/xX2mxqqYnG5nmujfZ422iXgXyOO.jpg'}",200000000,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",Alice in Wonderland,3,108,6.4,1025491110
"{'id': 261307, 'name': 'Alice in Wonderland Collection', 'poster_path': '/xSDwVJEdtewx9pfD125PCdRgznH.jpg', 'backdrop_path': '/xX2mxqqYnG5nmujfZ422iXgXyOO.jpg'}",170000000,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",Alice Through the Looking Glass,5,113,6.5,299370084
"{'id': 135416, 'name': 'Prometheus Collection', 'poster_path': '/gMjiXB5dhV8nN77xXnhTIhARE7a.jpg', 'backdrop_path': '/cK83Pq8SJoeSTnLJucr8IWn35KF.jpg'}",97000000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",Alien: Covenant,5,122,5.7,232380243
,45000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",Aliens in the Attic,7,86,5.3,57881056
"{'id': 115762, 'name': 'AVP Collection', 'poster_path': '/zrApSsUX9i0qVntcCD0Pp55TdCy.jpg', 'backdrop_path': '/c5ccDw4lcTUnYGdCxc2yEl8PjTk.jpg'}",40000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",Aliens vs Predator: Requiem,12,94,4.9,41797066
,15000000,"[{'id': 35, 'name': 'Comedy'}]",All About Steve,9,99,4.7,40105542
,14000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",All About the Benjamins,3,95,5.9,25482931
,9000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",All Is Lost,10,106,6.6,6108720
,55000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",All the King's Men,9,125,5.7,9450897
,15000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",All The Queen's Men,10,99,6.1,23000
"{'id': 283579, 'name': 'Divergent Collection', 'poster_path': '/nXuCj7NcsC2bPJlwD6t2l9ZTDnt.jpg', 'backdrop_path': '/uExS9jcaFBM1wJhkn1Q1P0MFpv6.jpg'}",110000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",Allegiant,3,121,5.9,179246868
,85000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",Allied,11,124,6.6,119520023
